Código,Título,Grupo de alimentos,Energía <ENERC> - kcal,Energía <ENERC> - KJ,Agua <WATER>,Proteínas <PROCNT>,Grasa total <FAT>,Carbohidratos totales <CHOCDF>,Carbohidratos disponibles <CHOAVL>,Fibra dietaria <FIBTG>,Cenizas <ASH>,Calcio <CA>,Fósforo <P>,Zinc <ZN>,Hierro <FE>,Sodio <NA>,Potasio <K>,β caroteno equivalentes totales <CARTBQ>,Vitamina A equivalentes totales <VITA>,Tiamina <THIA>,Riboflavina <RIBF>,Niacina <NIA>,Vitamina C <VITC>,Ácido fólico,Acción
T9,"Frejol zarandaja, chileno, cancate, bocón",LEGUMINOSAS Y DERIVADOS,236kcal,985KJ,12.80g,21.70g,1.80g,60.30g,35.70g,24.50g,3.40g,67mg,289mg,2.40mg,5.41mg,-1mg,-1mg,-1μg,0μg,0.59mg,0.17mg,1.60mg,4.50mg,-1μg,
T10,Frejol bountiful bean,LEGUMINOSAS Y DERIVADOS,334kcal,1397KJ,12.90g,17.30g,0.90g,65.20g,-1.00g,-1.00g,3.70g,104mg,396mg,-1.00mg,8.40mg,-1mg,-1mg,-1μg,-1μg,0.15mg,0.21mg,2.01mg,-1.00mg,-1μg,
T11,Frejol bush bean,LEGUMINOSAS Y DERIVADOS,227kcal,951KJ,13.30g,24.20g,1.60g,56.80g,31.90g,24.90g,4.10g,80mg,511mg,2.79mg,7.30mg,-1mg,-1mg,-1μg,0μg,0.11mg,0.23mg,1.98mg,4.50mg,-1μg,
T12,Frejol caballero,LEGUMINOSAS Y DERIVADOS,267kcal,1119KJ,12.50g,22.90g,1.50g,58.30g,43.10g,15.20g,4.80g,137mg,274mg,3.67mg,5.10mg,-1mg,-1mg,-1μg,0μg,0.23mg,0.05mg,2.90mg,2.50mg,-1μg,
T13,Frejol caballero o blanco cocido,LEGUMINOSAS Y DERIVADOS,67kcal,279KJ,75.80g,5.10g,0.40g,17.50g,11.20g,6.30g,1.20g,46mg,75mg,1.38mg,1.40mg,-1mg,-1mg,-1μg,0μg,0.01mg,0.00mg,0.59mg,0.00mg,-1μg,
T14,Frejol california,LEGUMINOSAS Y DERIVADOS,232kcal,970KJ,13.20g,20.70g,2.10g,59.90g,35.00g,24.90g,4.10g,170mg,447mg,2.79mg,7.00mg,-1mg,-1mg,-1μg,0μg,0.40mg,0.38mg,1.58mg,4.50mg,-1μg,
T15,Frejol canario,LEGUMINOSAS Y DERIVADOS,236kcal,988KJ,11.70g,21.90g,2.10g,60.10g,35.00g,25.10g,4.20g,138mg,351mg,2.83mg,6.60mg,43mg,1212mg,-1μg,0μg,0.16mg,0.01mg,1.50mg,6.30mg,-1μg,
T16,Frejol canario cocido,LEGUMINOSAS Y DERIVADOS,43kcal,180KJ,77.80g,5.20g,0.50g,15.50g,5.10g,10.40g,1.00g,45mg,85mg,1.06mg,1.60mg,-1mg,-1mg,-1μg,0μg,0.01mg,0.00mg,0.29mg,0.00mg,-1μg,
T17,"Frejol canario, fresco (frejol verde)",LEGUMINOSAS Y DERIVADOS,102kcal,427KJ,58.40g,9.70g,0.60g,29.60g,15.60g,14.00g,1.70g,60mg,287mg,-1.00mg,2.18mg,3mg,-1mg,0μg,0μg,0.17mg,0.07mg,1.54mg,5.22mg,-1μg,
T18,Frejol canario serranito,LEGUMINOSAS Y DERIVADOS,238kcal,996KJ,12.20g,19.20g,1.80g,63.30g,38.40g,24.90g,3.50g,149mg,362mg,2.79mg,4.00mg,43mg,1212mg,-1μg,0μg,0.41mg,0.45mg,2.65mg,4.50mg,-1μg,
T19,Frejol caraotas,LEGUMINOSAS Y DERIVADOS,228kcal,955KJ,13.50g,21.20g,1.40g,60.00g,35.10g,24.90g,3.90g,129mg,413mg,2.79mg,9.90mg,-1mg,-1mg,-1μg,0μg,0.32mg,0.23mg,1.75mg,4.50mg,-1μg,
T20,Frejol castilla,LEGUMINOSAS Y DERIVADOS,227kcal,950KJ,13.30g,23.30g,2.70g,56.90g,30.50g,26.40g,3.90g,97mg,387mg,3.96mg,6.65mg,-1mg,-1mg,0μg,0μg,0.50mg,0.44mg,1.57mg,2.10mg,-1μg,
T21,Frejol chavín,LEGUMINOSAS Y DERIVADOS,234kcal,978KJ,12.60g,19.20g,1.40g,63.10g,38.20g,24.90g,3.70g,95mg,392mg,2.79mg,4.20mg,-1mg,-1mg,-1μg,0μg,0.63mg,0.23mg,2.45mg,4.50mg,-1μg,
T22,Frejol chiclayo,LEGUMINOSAS Y DERIVADOS,223kcal,934KJ,15.10g,21.40g,1.60g,58.20g,33.30g,24.90g,3.70g,72mg,399mg,2.79mg,9.80mg,-1mg,-1mg,-1μg,0μg,0.61mg,0.30mg,2.25mg,2.60mg,-1μg,
T23,Frejol chiclayo dosmesino fresco,LEGUMINOSAS Y DERIVADOS,100kcal,419KJ,73.20g,8.40g,0.40g,16.60g,-1.00g,-1.00g,1.40g,26mg,149mg,-1.00mg,2.70mg,-1mg,-1mg,-1μg,12μg,0.26mg,0.20mg,1.00mg,6.10mg,-1μg,
T24,Frejol cocacho,LEGUMINOSAS Y DERIVADOS,230kcal,963KJ,13.10g,21.30g,1.20g,60.80g,35.90g,24.90g,3.60g,104mg,397mg,2.79mg,7.80mg,-1mg,-1mg,-1μg,0μg,0.20mg,0.20mg,1.44mg,4.50mg,-1μg,
T25,Frejol dulce (Ancash),LEGUMINOSAS Y DERIVADOS,236kcal,988KJ,12.40g,19.40g,1.80g,62.70g,37.80g,24.90g,3.70g,140mg,411mg,2.79mg,5.20mg,-1mg,-1mg,-1μg,0μg,0.53mg,0.47mg,2.60mg,4.50mg,-1μg,
T26,Frejol negro,LEGUMINOSAS Y DERIVADOS,270kcal,1131KJ,13.60g,18.20g,1.30g,63.40g,48.20g,15.20g,3.50g,133mg,308mg,3.65mg,9.30mg,30mg,1074mg,-1μg,0μg,0.34mg,0.45mg,1.74mg,2.30mg,-1μg,
T27,Frejol nucya blanco,LEGUMINOSAS Y DERIVADOS,237kcal,990KJ,12.50g,20.00g,1.90g,62.10g,37.20g,24.90g,3.50g,173mg,354mg,2.79mg,3.30mg,-1mg,-1mg,-1μg,0μg,0.46mg,0.51mg,1.90mg,4.50mg,-1μg,
T28,Frejol nucya plomo,LEGUMINOSAS Y DERIVADOS,233kcal,975KJ,12.90g,19.80g,1.60g,62.00g,37.10g,24.90g,3.70g,104mg,376mg,2.79mg,3.00mg,-1mg,-1mg,-1μg,0μg,0.32mg,0.60mg,2.07mg,4.50mg,-1μg,
T29,Frejol palo,LEGUMINOSAS Y DERIVADOS,345kcal,1442KJ,10.30g,18.40g,1.40g,66.10g,-1.00g,-1.00g,3.80g,114mg,388mg,-1.00mg,2.90mg,-1mg,-1mg,-1μg,0μg,0.84mg,0.25mg,2.95mg,4.60mg,-1μg,
T30,"Frejol palo, fresco (Lenteja verde)",LEGUMINOSAS Y DERIVADOS,82kcal,341KJ,67.60g,7.00g,0.80g,23.20g,12.50g,10.70g,1.50g,114mg,388mg,-1.00mg,1.09mg,1mg,500mg,0μg,0μg,0.84mg,0.25mg,2.95mg,7.06mg,-1μg,
T31,Frejol panamito,LEGUMINOSAS Y DERIVADOS,235kcal,981KJ,12.20g,21.50g,1.70g,60.70g,35.80g,24.90g,3.90g,174mg,427mg,2.81mg,6.30mg,13mg,77mg,-1μg,0μg,0.59mg,0.32mg,2.07mg,5.80mg,-1μg,
T32,Frejol plomo,LEGUMINOSAS Y DERIVADOS,236kcal,987KJ,12.70g,20.10g,1.80g,62.00g,37.10g,24.90g,3.40g,90mg,412mg,2.79mg,6.60mg,-1mg,-1mg,-1μg,0μg,0.13mg,0.20mg,1.40mg,4.50mg,-1μg,
T33,Frejol pole bean,LEGUMINOSAS Y DERIVADOS,229kcal,960KJ,13.20g,22.40g,1.20g,59.70g,34.80g,24.90g,3.50g,125mg,421mg,2.79mg,8.30mg,-1mg,-1mg,-1μg,0μg,0.12mg,0.25mg,2.11mg,4.50mg,-1μg,
T34,Frejol red kidney,LEGUMINOSAS Y DERIVADOS,270kcal,1128KJ,13.60g,19.20g,1.20g,62.60g,47.40g,15.20g,3.40g,107mg,393mg,2.79mg,4.60mg,-1mg,-1mg,-1μg,0μg,0.21mg,0.17mg,2.62mg,-1.00mg,-1μg,
T35,Frejol shimpe fresco,LEGUMINOSAS Y DERIVADOS,51kcal,213KJ,86.00g,3.70g,0.10g,9.10g,-1.00g,-1.00g,1.10g,46mg,78mg,-1.00mg,1.40mg,-1mg,-1mg,-1μg,0μg,0.21mg,0.14mg,-1.00mg,1.00mg,-1μg,
T36,Frejol soya,LEGUMINOSAS Y DERIVADOS,369kcal,1542KJ,9.50g,33.70g,18.70g,32.70g,23.40g,9.30g,5.40g,314mg,759mg,4.36mg,7.42mg,63mg,1079mg,-1μg,0μg,0.73mg,0.41mg,2.60mg,6.00mg,-1μg,
T37,Frejol tarhui o chocho cocido con cáscara,LEGUMINOSAS Y DERIVADOS,140kcal,584KJ,69.70g,11.60g,8.60g,9.50g,6.70g,2.80g,0.60g,30mg,123mg,1.38mg,1.40mg,-1mg,-1mg,-1μg,0μg,0.01mg,0.34mg,0.95mg,0.00mg,-1μg,
T38,"Frejol tarhui o chocho, harina de",LEGUMINOSAS Y DERIVADOS,458kcal,1916KJ,7.00g,49.60g,27.90g,12.90g,-1.00g,-1.00g,2.60g,93mg,440mg,-1.00mg,1.38mg,-1mg,-1mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
T39,"Frejol tarhui o chocho, seco",LEGUMINOSAS Y DERIVADOS,277kcal,1159KJ,46.30g,17.30g,17.50g,17.30g,-1.00g,-1.00g,1.60g,54mg,262mg,4.75mg,2.30mg,-1mg,-1mg,-1μg,1μg,0.60mg,0.44mg,2.10mg,4.60mg,-1μg,
T40,Frejol terciopelo,LEGUMINOSAS Y DERIVADOS,358kcal,1498KJ,11.50g,21.00g,5.60g,58.50g,-1.00g,-1.00g,3.40g,104mg,321mg,-1.00mg,8.00mg,-1mg,-1mg,-1μg,-1μg,0.42mg,0.31mg,1.60mg,-1.00mg,-1μg,
T41,Frejol vacapaleta,LEGUMINOSAS Y DERIVADOS,226kcal,948KJ,15.60g,18.30g,2.40g,60.10g,35.20g,24.90g,3.70g,127mg,439mg,2.91mg,4.53mg,-1mg,-1mg,-1μg,1μg,0.16mg,0.20mg,2.35mg,4.50mg,-1μg,
T42,Frejol white kidney,LEGUMINOSAS Y DERIVADOS,268kcal,1121KJ,13.10g,22.10g,1.10g,59.90g,44.70g,15.20g,3.80g,139mg,482mg,3.67mg,6.10mg,-1mg,-1mg,-1μg,0μg,0.20mg,0.16mg,2.50mg,0.00mg,-1μg,
T43,"Garbanzo, cocido",LEGUMINOSAS Y DERIVADOS,127kcal,530KJ,61.90g,6.90g,2.50g,27.80g,20.20g,7.60g,1.00g,54mg,60mg,1.41mg,1.90mg,-1mg,-1mg,-1μg,1μg,0.00mg,0.04mg,0.49mg,0.00mg,-1μg,
T44,Garbanzo,LEGUMINOSAS Y DERIVADOS,293kcal,1225KJ,10.80g,17.60g,5.40g,63.30g,45.90g,17.40g,3.10g,120mg,370mg,3.06mg,5.95mg,29mg,1006mg,0μg,0μg,0.38mg,0.38mg,2.80mg,5.40mg,-1μg,
T45,Guaba fresco,LEGUMINOSAS Y DERIVADOS,141kcal,590KJ,63.30g,10.70g,0.70g,24.00g,-1.00g,-1.00g,1.30g,115mg,128mg,-1.00mg,3.10mg,-1mg,-1mg,-1μg,0μg,0.19mg,0.13mg,0.65mg,12.90mg,-1μg,
T46,Guaba seco,LEGUMINOSAS Y DERIVADOS,346kcal,1448KJ,10.70g,20.30g,2.10g,63.30g,-1.00g,-1.00g,3.60g,192mg,303mg,-1.00mg,4.90mg,-1mg,-1mg,-1μg,-1μg,0.49mg,0.23mg,1.20mg,2.80mg,-1μg,
T47,"Habas frescas, sin cáscara y sin vaina",LEGUMINOSAS Y DERIVADOS,134kcal,562KJ,60.60g,11.30g,0.80g,25.90g,21.70g,4.20g,1.40g,31mg,137mg,0.58mg,2.00mg,6mg,364mg,-1μg,18μg,0.30mg,0.09mg,1.40mg,28.50mg,-1μg,
T48,Habas secas con cáscara cruda,LEGUMINOSAS Y DERIVADOS,340kcal,1423KJ,11.50g,23.80g,1.50g,60.10g,-1.00g,-1.00g,3.10g,197mg,413mg,-1.00mg,13.00mg,63mg,1079mg,-1μg,-1μg,0.39mg,0.30mg,4.00mg,8.60mg,-1μg,
T49,Habas secas sin cáscara,LEGUMINOSAS Y DERIVADOS,233kcal,976KJ,13.60g,25.90g,2.40g,55.30g,30.30g,25.00g,2.80g,48mg,395mg,3.14mg,8.00mg,63mg,1079mg,-1μg,3μg,0.34mg,0.31mg,3.40mg,2.40mg,-1μg,
T50,Habas secas sin cáscara cocida,LEGUMINOSAS Y DERIVADOS,83kcal,347KJ,72.80g,7.30g,0.50g,18.50g,13.10g,5.40g,0.90g,64mg,53mg,1.01mg,0.90mg,-1mg,-1mg,-1μg,1μg,0.00mg,0.01mg,0.72mg,0.90mg,-1μg,
T51,"Habas, harina de",LEGUMINOSAS Y DERIVADOS,310kcal,1297KJ,8.10g,22.40g,2.30g,64.60g,52.50g,12.10g,2.70g,67mg,393mg,3.43mg,4.63mg,-1mg,-1mg,-1μg,3μg,0.36mg,0.27mg,2.84mg,4.70mg,-1μg,
T52,Lentejas chicas,LEGUMINOSAS Y DERIVADOS,211kcal,883KJ,13.00g,22.60g,1.00g,61.00g,30.50g,30.50g,2.40g,73mg,375mg,4.78mg,7.60mg,-1mg,-1mg,-1μg,2μg,0.21mg,0.29mg,2.90mg,5.50mg,-1μg,
T53,Lentejas chicas cocidas,LEGUMINOSAS Y DERIVADOS,65kcal,274KJ,74.60g,6.40g,0.10g,18.30g,10.40g,7.90g,0.60g,43mg,80mg,1.27mg,1.70mg,-1mg,-1mg,-1μg,0μg,0.00mg,0.07mg,0.50mg,0.00mg,-1μg,
T54,Lentejas grandes,LEGUMINOSAS Y DERIVADOS,214kcal,895KJ,12.40g,23.20g,1.10g,61.00g,30.50g,30.50g,2.30g,71mg,263mg,4.78mg,4.80mg,-1mg,-1mg,-1μg,2μg,0.34mg,0.25mg,2.17mg,4.40mg,-1μg,
T55,Pallar morado,LEGUMINOSAS Y DERIVADOS,259kcal,1082KJ,12.10g,20.00g,1.30g,62.80g,43.80g,19.00g,3.80g,51mg,358mg,2.83mg,3.80mg,-1mg,-1mg,-1μg,0μg,0.50mg,0.57mg,2.52mg,0.00mg,-1μg,
T56,Pallar seco,LEGUMINOSAS Y DERIVADOS,253kcal,1060KJ,11.60g,20.40g,1.20g,61.40g,42.40g,19.00g,5.40g,70mg,318mg,2.83mg,6.70mg,55mg,576mg,-1μg,0μg,0.28mg,0.28mg,3.20mg,7.50mg,-1μg,
T57,Pallar sin cáscara,LEGUMINOSAS Y DERIVADOS,260kcal,1088KJ,12.20g,21.60g,1.40g,61.60g,42.60g,19.00g,3.20g,38mg,205mg,2.83mg,5.20mg,55mg,576mg,-1μg,0μg,0.55mg,0.21mg,2.25mg,0.00mg,-1μg,
T58,"Pallar cocido, con cáscara",LEGUMINOSAS Y DERIVADOS,94kcal,393KJ,68.10g,7.70g,0.80g,21.90g,14.90g,7.00g,1.50g,28mg,34mg,0.93mg,1.28mg,-1mg,-1mg,-1μg,0μg,0.00mg,0.02mg,0.59mg,0.10mg,-1μg,
T59,"Arveja colantao, fresca",LEGUMINOSAS Y DERIVADOS,35kcal,147KJ,88.50g,3.10g,0.10g,7.80g,5.90g,2.00g,0.50g,-1mg,-1mg,-1.00mg,1.06mg,11mg,-1mg,54μg,9μg,0.12mg,-1.00mg,-1.00mg,27.05mg,-1μg,
T60,"Arveja, harina de",LEGUMINOSAS Y DERIVADOS,306kcal,1280KJ,8.20g,19.90g,2.40g,67.00g,53.30g,13.70g,2.50g,81mg,-1mg,2.98mg,4.36mg,-1mg,-1mg,0μg,0μg,-1.00mg,-1.00mg,-1.00mg,1.00mg,-1μg,
T61,"Arveja verde partida, sancochada sin sal",LEGUMINOSAS Y DERIVADOS,120kcal,503KJ,65.60g,10.10g,1.80g,21.80g,17.30g,4.50g,0.70g,47mg,125mg,1.30mg,1.61mg,8mg,174mg,0μg,0μg,0.23mg,0.05mg,0.92mg,0.00mg,-1μg,
T62,Caza o parka,LEGUMINOSAS Y DERIVADOS,342kcal,1432KJ,11.00g,25.10g,2.00g,58.60g,-1.00g,-1.00g,3.30g,176mg,290mg,-1.00mg,3.40mg,-1mg,-1mg,-1μg,-1μg,0.40mg,0.09mg,-1.00mg,3.10mg,-1μg,
T63,Frejol bayo sancochado sin sal,LEGUMINOSAS Y DERIVADOS,111kcal,463KJ,63.80g,9.80g,0.90g,24.30g,16.90g,7.30g,1.20g,59mg,150mg,1.66mg,3.19mg,18mg,272mg,0μg,0μg,0.16mg,0.07mg,0.46mg,0.00mg,-1μg,
T64,Frejol castilla sancochado sin sal,LEGUMINOSAS Y DERIVADOS,119kcal,500KJ,64.40g,10.10g,1.80g,22.70g,17.10g,5.60g,1.00g,39mg,135mg,1.41mg,3.18mg,3mg,293mg,0μg,0μg,0.19mg,0.06mg,0.54mg,0.00mg,-1μg,
T65,Frejol chiclayo marrón,LEGUMINOSAS Y DERIVADOS,334kcal,1396KJ,13.50g,22.60g,2.10g,58.40g,-1.00g,-1.00g,3.50g,143mg,-1mg,4.56mg,4.49mg,-1mg,-1mg,-1μg,0μg,-1.00mg,-1.00mg,-1.00mg,5.00mg,-1μg,
T66,Frejol chiclayo pindayllo,LEGUMINOSAS Y DERIVADOS,343kcal,1436KJ,11.60g,25.10g,2.90g,57.00g,-1.00g,-1.00g,3.40g,143mg,-1mg,4.15mg,6.65mg,-1mg,-1mg,-1μg,0μg,-1.00mg,-1.00mg,-1.00mg,5.00mg,-1μg,
T67,Frejol chiclayo rojo,LEGUMINOSAS Y DERIVADOS,335kcal,1403KJ,13.50g,21.80g,2.50g,58.80g,-1.00g,-1.00g,3.50g,143mg,-1mg,4.40mg,4.56mg,-1mg,-1mg,-1μg,0μg,-1.00mg,-1.00mg,-1.00mg,5.00mg,-1μg,
T68,Frejol de Iberia,LEGUMINOSAS Y DERIVADOS,343kcal,1436KJ,10.00g,22.70g,1.30g,62.30g,-1.00g,-1.00g,3.70g,131mg,419mg,-1.00mg,5.40mg,-1mg,-1mg,-1μg,-1μg,0.00mg,0.00mg,-1.00mg,0.00mg,-1μg,
T69,Frejol negro sancochado sin sal,LEGUMINOSAS Y DERIVADOS,104kcal,435KJ,64.40g,9.80g,1.70g,22.80g,13.80g,9.10g,1.30g,64mg,175mg,1.19mg,2.30mg,19mg,364mg,0μg,0μg,0.17mg,0.08mg,0.74mg,0.00mg,-1μg,
T70,Frejol ñuña,LEGUMINOSAS Y DERIVADOS,271kcal,1134KJ,11.30g,19.10g,1.20g,64.60g,47.90g,16.70g,3.90g,143mg,-1mg,2.22mg,4.13mg,-1mg,-1mg,-1μg,0μg,-1.00mg,-1.00mg,-1.00mg,5.00mg,-1μg,
T71,Frejol panamito sancochado sin sal,LEGUMINOSAS Y DERIVADOS,106kcal,445KJ,62.50g,9.50g,1.40g,25.40g,15.10g,10.30g,1.10g,78mg,125mg,1.10mg,1.95mg,5mg,292mg,0μg,0μg,0.16mg,0.06mg,0.49mg,0.00mg,-1μg,
T72,"Frejol soya, bebida de, (""leche"" de soya UHT)",LEGUMINOSAS Y DERIVADOS,49kcal,206KJ,88.80g,3.00g,1.80g,6.00g,-1.00g,-1.00g,0.50g,54mg,-1mg,0.35mg,0.71mg,49mg,128mg,-1μg,130μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
T73,"Frejol soya, cocido",LEGUMINOSAS Y DERIVADOS,176kcal,735KJ,62.80g,15.30g,9.20g,11.10g,-1.00g,-1.00g,1.50g,-1mg,-1mg,1.72mg,1.87mg,-1mg,-1mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
T74,"Frejol soya, harina integral",LEGUMINOSAS Y DERIVADOS,359kcal,1503KJ,8.00g,37.40g,23.00g,26.40g,9.20g,17.20g,5.30g,-1mg,-1mg,4.40mg,6.30mg,-1mg,-1mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
T75,"Frejol soya, harina integral tostada",LEGUMINOSAS Y DERIVADOS,433kcal,1814KJ,6.50g,40.50g,23.40g,23.90g,-1.00g,-1.00g,5.80g,-1mg,-1mg,4.44mg,6.65mg,-1mg,-1mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
T76,Frejol ucayalino,LEGUMINOSAS Y DERIVADOS,334kcal,1398KJ,13.50g,21.70g,2.30g,58.80g,-1.00g,-1.00g,3.70g,83mg,-1mg,3.48mg,5.44mg,-1mg,-1mg,-1μg,0μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
T77,"Frejol zarandaja, chileno, cancate o bocón, sancochado sin sal",LEGUMINOSAS Y DERIVADOS,114kcal,478KJ,62.60g,9.90g,1.00g,25.50g,17.60g,7.90g,1.00g,38mg,135mg,0.83mg,2.09mg,3mg,319mg,0μg,0μg,0.11mg,0.05mg,0.39mg,0.00mg,-1μg,
T78,"Gigante rojo, cáscara del grano",LEGUMINOSAS Y DERIVADOS,348kcal,1456KJ,10.30g,4.40g,0.70g,80.30g,-1.00g,-1.00g,4.30g,637mg,32mg,-1.00mg,2.10mg,-1mg,-1mg,-1μg,-1μg,0.05mg,0.19mg,-1.00mg,0.00mg,-1μg,
T79,"Gigante rojo, cáscara fresca del grano",LEGUMINOSAS Y DERIVADOS,125kcal,523KJ,67.40g,2.70g,0.20g,28.00g,-1.00g,-1.00g,1.70g,150mg,56mg,-1.00mg,0.50mg,-1mg,-1mg,-1μg,-1μg,0.01mg,0.09mg,-1.00mg,2.60mg,-1μg,
T80,"Gigante rojo, pulpa fresca",LEGUMINOSAS Y DERIVADOS,166kcal,695KJ,56.00g,16.30g,0.60g,25.70g,-1.00g,-1.00g,1.40g,76mg,241mg,-1.00mg,0.90mg,-1mg,-1mg,-1μg,-1μg,0.33mg,0.03mg,-1.00mg,18.00mg,-1μg,
T81,"Gigante rojo, pulpa seca",LEGUMINOSAS Y DERIVADOS,333kcal,1395KJ,12.00g,31.60g,1.30g,52.30g,-1.00g,-1.00g,2.80g,109mg,504mg,-1.00mg,3.60mg,-1mg,-1mg,-1μg,-1μg,0.72mg,0.10mg,-1.00mg,0.00mg,-1μg,
T82,Hemico leguminoso,LEGUMINOSAS Y DERIVADOS,331kcal,1387KJ,12.60g,25.60g,1.70g,56.10g,-1.00g,-1.00g,4.00g,170mg,446mg,-1.00mg,7.20mg,-1mg,-1mg,-1μg,-1μg,0.00mg,0.00mg,-1.00mg,0.00mg,-1μg,
T83,Pallar del río Manú,LEGUMINOSAS Y DERIVADOS,329kcal,1376KJ,13.40g,22.00g,0.90g,60.20g,-1.00g,-1.00g,3.50g,186mg,327mg,-1.00mg,4.00mg,-1mg,-1mg,-1μg,-1μg,0.25mg,0.11mg,-1.00mg,2.90mg,-1μg,
T84,Poroto de cumbasa,LEGUMINOSAS Y DERIVADOS,357kcal,1495KJ,11.00g,22.50g,5.50g,57.30g,-1.00g,-1.00g,3.70g,140mg,360mg,-1.00mg,4.00mg,-1mg,-1mg,-1μg,-1μg,0.23mg,0.35mg,-1.00mg,1.10mg,-1μg,
T85,"Proteínas, (proteína de soya)*",LEGUMINOSAS Y DERIVADOS,350kcal,1464KJ,5.80g,49.30g,0.50g,36.00g,-1.00g,-1.00g,7.80g,350mg,950mg,-1.00mg,15.00mg,-1mg,-1mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
T86,"Arverja verde, partida, seca",LEGUMINOSAS Y DERIVADOS,290kcal,1210KJ,10.70g,21.20g,1.60g,64.00g,49.90g,14.10g,2.60g,28mg,340mg,2.20mg,3.85mg,2mg,772mg,361μg,60μg,0.65mg,0.09mg,4.28mg,1.40mg,-1μg,
T87,Frejol chuyo,LEGUMINOSAS Y DERIVADOS,265kcal,1107KJ,13.50g,18.00g,1.40g,63.60g,46.80g,16.80g,3.50g,140mg,399mg,2.74mg,8.82mg,24mg,1379mg,-1μg,0μg,0.52mg,0.22mg,2.02mg,4.90mg,0μg,
T88,"Tofu  o ""queso"" de soya, crudo",LEGUMINOSAS Y DERIVADOS,128kcal,537KJ,75.70g,11.00g,9.70g,2.50g,2.20g,0.30g,1.00g,225mg,160mg,0.91mg,1.40mg,108mg,58mg,0μg,0μg,0.04mg,0.04mg,0.00mg,-1.00mg,-1μg,
Q1,Al 110 maternizada,ALIMENTOS INFANTILES,502kcal,2100KJ,3.00g,14.00g,25.00g,55.30g,-1.00g,-1.00g,2.70g,450mg,300mg,-1.00mg,6.00mg,-1mg,-1mg,-1μg,360μg,0.30mg,0.70mg,3.70mg,40.00mg,-1μg,
Q2,Cerelac manzana,ALIMENTOS INFANTILES,414kcal,1732KJ,3.00g,11.00g,7.40g,75.60g,-1.00g,-1.00g,3.00g,275mg,225mg,-1.00mg,6.30mg,-1mg,-1mg,-1μg,225μg,0.20mg,0.30mg,3.80mg,20.00mg,-1μg,
Q3,Cerelac trigo,ALIMENTOS INFANTILES,425kcal,1778KJ,1.50g,11.50g,7.80g,77.20g,-1.00g,-1.00g,2.00g,275mg,225mg,-1.00mg,6.30mg,-1mg,-1mg,-1μg,225μg,0.20mg,0.30mg,3.80mg,20.00mg,-1μg,
Q4,Eledón maternizada,ALIMENTOS INFANTILES,417kcal,1745KJ,3.00g,27.90g,12.00g,49.80g,49.80g,0.00g,7.30g,1070mg,843mg,-1.00mg,0.40mg,-1mg,-1mg,-1μg,-1μg,0.26mg,0.89mg,1.10mg,10.40mg,-1μg,
Q5,Nan maternizada,ALIMENTOS INFANTILES,509kcal,2130KJ,3.00g,11.40g,26.00g,57.70g,-1.00g,-1.00g,1.90g,320mg,160mg,-1.00mg,6.00mg,-1mg,-1mg,-1μg,360μg,0.30mg,0.70mg,3.80mg,41.00mg,-1μg,
Q6,Nestúm cereal mixto,ALIMENTOS INFANTILES,380kcal,1590KJ,3.00g,9.40g,1.20g,82.90g,-1.00g,-1.00g,3.50g,690mg,570mg,-1.00mg,15.60mg,-1mg,-1mg,-1μg,563μg,0.60mg,0.70mg,9.40mg,45.00mg,-1μg,
Q7,Nestúm tres cereales,ALIMENTOS INFANTILES,376kcal,1573KJ,4.00g,10.70g,2.40g,77.80g,-1.00g,-1.00g,5.10g,690mg,570mg,-1.00mg,14.70mg,-1mg,-1mg,-1μg,563μg,0.60mg,0.70mg,9.40mg,45.00mg,-1μg,
Q8,Pelargón maternizada,ALIMENTOS INFANTILES,458kcal,1916KJ,3.00g,16.50g,17.10g,59.60g,-1.00g,-1.00g,3.80g,590mg,460mg,-1.00mg,6.00mg,-1mg,-1mg,-1μg,329μg,0.30mg,0.40mg,3.40mg,37.00mg,-1μg,
Q9,"Alimento instantáneo en polvo, a base de harina de arroz, para niños a partir de 6 meses de edad",ALIMENTOS INFANTILES,370kcal,1548KJ,3.70g,7.40g,0.60g,86.00g,83.80g,2.20g,2.40g,462mg,225mg,6.00mg,52.15mg,32mg,429mg,-1μg,509μg,1.04mg,0.79mg,5.35mg,-1.00mg,288μg,
Q10,"Alimento complementario en polvo, a base de leche descremada, maltodextrina, vitaminas y minerales, para mayores de 2 años de edad",ALIMENTOS INFANTILES,398kcal,1664KJ,2.10g,14.50g,21.20g,58.00g,37.40g,20.70g,4.30g,663mg,405mg,4.00mg,6.17mg,303mg,747mg,-1μg,524μg,1.21mg,1.03mg,8.21mg,61.33mg,714μg,
