Código,Título,Estrato,Energía <ENERC> - kcal,Energía <ENERC> - KJ,Agua <WATER>,Proteínas <PROCNT>,Grasa total <FAT>,Carbohidratos totales <CHOCDF>,Carbohidratos disponibles <CHOAVL>,Fibra dietaria <FIBTG>,Cenizas <ASH>,Calcio <CA>,Fósforo <P>,Zinc <ZN>,Hierro <FE>,Sodio <NA>,Potasio <K>,Vitamina A equivalentes totales <VITA>,Tiamina <THIA>,Riboflavina <RIBF>,Niacina <NIA>,Vitamina C <VITC>,Ácido fólico,Acción
SS288,Seco de pato con arroz,D,189kcal,791KJ,44.10g,6.90g,10.50g,17.10g,16.30g,0.70g,0.70g,16mg,96mg,0.80mg,1.05mg,54mg,14mg,24μg,0.06mg,0.17mg,2.42mg,4.26mg,0μg,
SS289,Seco de pollo con arroz,A,121kcal,508KJ,33.90g,6.40g,1.80g,19.70g,17.50g,2.20g,0.70g,22mg,81mg,0.73mg,1.08mg,121mg,9mg,44μg,0.06mg,0.05mg,1.98mg,3.93mg,0μg,
SS289,Seco de pollo con arroz,C,129kcal,539KJ,40.10g,7.60g,1.50g,20.60g,19.90g,0.50g,0.60g,13mg,84mg,0.78mg,0.83mg,233mg,8mg,29μg,0.06mg,0.06mg,2.81mg,4.68mg,0μg,
SS289,Seco de pollo con arroz,D,119kcal,496KJ,48.70g,7.70g,2.00g,17.20g,16.20g,1.00g,0.70g,17mg,84mg,0.77mg,0.92mg,272mg,25mg,88μg,0.06mg,0.07mg,2.85mg,4.38mg,0μg,
SS289,Seco de pollo con arroz,E,132kcal,553KJ,43.00g,7.00g,2.10g,21.00g,20.30g,0.90g,0.80g,23mg,82mg,0.80mg,0.95mg,878mg,11mg,31μg,0.06mg,0.09mg,2.60mg,5.28mg,0μg,
SS290,Seco de pollo con menestra y arroz,A,136kcal,567KJ,28.40g,8.20g,2.10g,20.60g,17.80g,2.80g,0.90g,24mg,99mg,0.88mg,1.36mg,286mg,9mg,11μg,0.06mg,0.06mg,2.23mg,2.38mg,0μg,
SS290,Seco de pollo con menestra y arroz,B,122kcal,512KJ,17.80g,4.60g,0.70g,24.50g,20.80g,3.80g,0.80g,29mg,87mg,0.68mg,1.24mg,110mg,1mg,31μg,0.10mg,0.10mg,0.86mg,2.12mg,0μg,
SS290,Seco de pollo con menestra y arroz,C,136kcal,568KJ,29.90g,8.60g,2.10g,20.60g,17.60g,2.70g,0.90g,22mg,101mg,0.94mg,1.33mg,215mg,9mg,19μg,0.06mg,0.06mg,2.42mg,2.48mg,0μg,
SS290,Seco de pollo con menestra y arroz,D,148kcal,620KJ,26.80g,7.80g,2.30g,23.90g,20.90g,2.80g,0.90g,24mg,101mg,0.91mg,1.32mg,229mg,9mg,18μg,0.07mg,0.05mg,2.10mg,2.91mg,0μg,
SS290,Seco de pollo con menestra y arroz,E,140kcal,587KJ,32.50g,9.10g,2.20g,20.80g,17.90g,2.90g,1.00g,26mg,106mg,1.00mg,1.47mg,260mg,10mg,27μg,0.07mg,0.06mg,2.56mg,2.83mg,0μg,
SS291,Seco de pollo con sarsa criolla y arroz,C,132kcal,553KJ,46.30g,7.60g,1.60g,22.10g,21.20g,0.90g,0.70g,14mg,87mg,0.84mg,0.86mg,206mg,13mg,16μg,0.05mg,0.12mg,2.81mg,5.73mg,0μg,
SS292,Seco de res a la huachana con menestra y arroz,E,124kcal,517KJ,23.40g,7.30g,2.00g,18.90g,17.00g,1.90g,1.00g,14mg,93mg,1.34mg,1.53mg,34mg,9mg,2μg,0.05mg,0.06mg,1.97mg,1.38mg,0μg,
SS293,Seco de res a la norteña con menestra y arroz,A,144kcal,602KJ,21.10g,7.70g,1.10g,25.40g,23.50g,2.00g,1.00g,23mg,94mg,1.41mg,1.42mg,48mg,9mg,2μg,0.06mg,0.04mg,1.81mg,1.06mg,0μg,
SS293,Seco de res a la norteña con menestra y arroz,B,141kcal,588KJ,24.80g,8.30g,1.20g,24.10g,20.40g,3.70g,1.50g,20mg,113mg,1.41mg,2.07mg,348mg,9mg,1μg,0.08mg,0.09mg,1.96mg,2.51mg,0μg,
SS293,Seco de res a la norteña con menestra y arroz,C,122kcal,509KJ,28.40g,5.80g,1.90g,20.70g,18.10g,2.60g,0.90g,24mg,83mg,1.04mg,1.38mg,200mg,12mg,6μg,0.04mg,0.07mg,1.35mg,3.23mg,0μg,
SS293,Seco de res a la norteña con menestra y arroz,E,112kcal,469KJ,19.90g,4.90g,2.10g,18.40g,16.10g,2.20g,0.80g,18mg,70mg,0.80mg,1.15mg,222mg,12mg,2μg,0.05mg,0.03mg,1.02mg,2.39mg,0μg,
SS294,Seco de res con arroz,A,107kcal,448KJ,44.10g,7.10g,1.00g,17.80g,16.80g,1.00g,0.70g,20mg,89mg,1.48mg,1.30mg,168mg,27mg,101μg,0.04mg,0.10mg,2.27mg,3.86mg,0μg,
SS294,Seco de res con arroz,C,136kcal,569KJ,42.90g,6.60g,2.30g,21.90g,19.40g,0.80g,0.70g,16mg,87mg,1.28mg,1.19mg,256mg,21mg,52μg,0.05mg,0.05mg,2.05mg,3.47mg,0μg,
SS294,Seco de res con arroz,D,140kcal,587KJ,35.30g,7.10g,1.60g,23.70g,21.30g,0.40g,0.60g,13mg,90mg,1.39mg,1.18mg,80mg,10mg,25μg,0.05mg,0.05mg,2.08mg,1.90mg,0μg,
SS295,Seco de res con menestra y arroz,A,149kcal,623KJ,27.40g,7.50g,2.20g,25.10g,21.20g,3.70g,1.00g,33mg,108mg,1.23mg,1.76mg,272mg,16mg,16μg,0.07mg,0.06mg,1.58mg,2.26mg,0μg,
SS295,Seco de res con menestra y arroz,B,137kcal,571KJ,20.60g,7.60g,1.40g,23.10g,19.30g,3.80g,0.90g,27mg,106mg,1.28mg,1.70mg,250mg,10mg,28μg,0.05mg,0.03mg,1.54mg,1.40mg,0μg,
SS295,Seco de res con menestra y arroz,C,133kcal,555KJ,22.10g,6.60g,1.30g,23.80g,20.90g,2.90g,0.90g,24mg,92mg,1.12mg,1.47mg,239mg,15mg,18μg,0.05mg,0.04mg,1.42mg,2.01mg,0μg,
SS295,Seco de res con menestra y arroz,D,156kcal,652KJ,20.70g,8.30g,1.70g,27.60g,22.60g,5.00g,1.20g,34mg,121mg,1.36mg,2.03mg,240mg,13mg,15μg,0.07mg,0.05mg,1.54mg,2.26mg,0μg,
SS295,Seco de res con menestra y arroz,E,142kcal,595KJ,21.70g,6.20g,2.00g,24.80g,21.90g,2.80g,0.80g,23mg,88mg,1.05mg,1.46mg,256mg,7mg,15μg,0.05mg,0.04mg,1.30mg,2.01mg,0μg,
SS296,"Seco de res con menestra, ensalada y arroz",C,108kcal,454KJ,24.70g,6.40g,1.10g,18.10g,14.80g,2.70g,0.80g,21mg,87mg,1.15mg,1.45mg,165mg,8mg,5μg,0.04mg,0.04mg,1.45mg,1.93mg,0μg,
SS296,"Seco de res con menestra, ensalada y arroz",D,145kcal,608KJ,25.20g,4.80g,4.60g,21.50g,20.90g,0.60g,0.40g,11mg,41mg,0.42mg,0.64mg,504mg,10mg,94μg,0.04mg,0.03mg,0.63mg,3.86mg,0μg,
SS296,"Seco de res con menestra, ensalada y arroz",E,125kcal,524KJ,34.20g,5.70g,2.20g,20.70g,18.10g,2.60g,0.70g,26mg,84mg,0.98mg,1.38mg,209mg,13mg,36μg,0.05mg,0.04mg,1.26mg,3.62mg,0μg,
SS297,"Seco de res con menestra, sarsa criolla y arroz",A,130kcal,545KJ,26.60g,7.30g,0.80g,23.20g,19.70g,3.50g,0.90g,26mg,102mg,1.23mg,1.69mg,306mg,4mg,1μg,0.05mg,0.04mg,1.53mg,2.67mg,0μg,
SS297,"Seco de res con menestra, sarsa criolla y arroz",C,117kcal,488KJ,31.10g,5.70g,1.80g,19.40g,16.80g,2.50g,0.80g,23mg,81mg,0.97mg,1.41mg,362mg,17mg,21μg,0.04mg,0.04mg,1.26mg,3.12mg,0μg,
SS297,"Seco de res con menestra, sarsa criolla y arroz",D,120kcal,501KJ,29.50g,6.80g,1.50g,20.90g,18.00g,2.90g,0.90g,23mg,94mg,1.18mg,1.54mg,358mg,8mg,16μg,0.06mg,0.06mg,1.48mg,2.82mg,0μg,
SS297,"Seco de res con menestra, sarsa criolla y arroz",E,121kcal,506KJ,31.80g,5.70g,1.10g,22.50g,19.90g,2.60g,1.00g,23mg,82mg,1.05mg,1.30mg,139mg,11mg,7μg,0.05mg,0.08mg,1.36mg,4.45mg,0μg,
SS298,Seco de ternera con menestra y arroz,D,125kcal,525KJ,25.50g,7.70g,1.70g,19.60g,16.00g,2.10g,1.00g,26mg,91mg,1.39mg,1.46mg,270mg,4mg,1μg,0.05mg,0.04mg,1.76mg,1.25mg,0μg,
SS299,Seco huachano con menestra y arroz,C,113kcal,474KJ,22.30g,5.70g,1.20g,20.00g,13.80g,0.40g,0.80g,26mg,48mg,1.13mg,1.24mg,278mg,31mg,12μg,0.03mg,0.03mg,1.08mg,1.73mg,0μg,
SS300,Sopa seca con carapulcra y arroz,D,222kcal,929KJ,47.50g,12.70g,11.10g,17.70g,16.40g,0.90g,11.20g,40mg,129mg,0.75mg,3.47mg,36mg,0mg,26μg,0.08mg,0.11mg,3.92mg,4.02mg,0μg,
SS301,Spaguetti con crema,C,176kcal,735KJ,57.50g,13.90g,4.30g,21.10g,19.90g,1.30g,1.10g,114mg,164mg,2.38mg,3.71mg,722mg,0mg,47μg,0.06mg,0.13mg,3.33mg,2.02mg,0μg,
